username,limit,used_total,used_batch,used_tss
ZZa008-d,15000.0,0,0,0
FIn001-d,15000.0,0,0,0
HTc016-s,200.0,0,0,0
HTc010-s,200.0,0,0,0
FIa164-d,15000.0,0,0,0
HTc015-d,1000.0,0,0,0
HTc010-d,1000.0,0,0,0
HTc016-d,1000.0,0,0,0
HTc015-s,200.0,0,0,0
FIa164-s,2000.0,0,0,0
RFa057-d,15000.0,42.28181861111112,42.28181861111112,0
SMa077-s,2000.0,0,0,0
FIa101-s,2000.0,0,0,0
FIa071-s,200.0,0,0,0
SMa074-s,200.0,0,0,0
SMa079-s,2000.0,0,0,0
FIa101-d,15000.0,0,0,0
SMa077-d,15000.0,0,0,0
RFa057-s,2000.0,0,0,0
SMa079-d,15000.0,0,0,0
SMa074-d,1000.0,0,0,0
FIa071-d,1000.0,0,0,0
SMa071-s,2000.0,0,0,0
SMa073-s,2000.0,0,0,0
SMa071-d,15000.0,0,0,0
SMa073-d,15000.0,0,0,0
KVa005-s,200.0,0,0,0
RCa001-s,2000.0,0,0,0
RCa001-d,15000.0,0,0,0
KVa005-d,1000.0,0,0,0
FMa029-d,500.0,197.68583805555554,197.68583805555554,0
RCa025-s,2000.0,0,0,0
FIa168-d,1000.0,0,0,0
STa001-s,2000.0,0,0,0
STa006-s,2000.0,0,0,0
FIg002-d,15000.0,23.947234444444447,23.947234444444447,0
STa001-d,15000.0,0,0,0
FIa168-s,200.0,0,0,0
RCa025-d,15000.0,0,0,0
FMa029-s,100.0,0,0,0
FIg002-s,2000.0,0,0,0
STa006-d,15000.0,0,0,0
FIg001-d,15000.0,0,0,0
FIa122-d,1000.0,0,0,0
SMe001-s,2000.0,0,0,0
FIa122-s,200.0,0,0,0
NIa018-s,200.0,0,0,0
SMe001-d,15000.0,0,0,0
GEb001-s,2000.0,0,0,0
ENa043-s,200.0,0,0,0
BFa025-s,2000.0,0,0,0
RFa031-s,2000.0,0,0,0
NIa032-d,15000.0,8.828562777777778,8.828562777777778,0
GEb001-d,15000.0,0,0,0
RFa031-d,15000.0,0,0,0
BFa025-d,15000.0,0,0,0
FMa026-s,100.0,0,0,0
RFa036-d,15000.0,0,0,0
ENa001-d,15000.0,0,0,0
ZZa006-s,2000.0,0,0,0
HTc013-d,1000.0,0,0,0
FIa159-s,2000.0,0,0,0
ENa001-s,2000.0,0,0,0
RFa036-s,2000.0,0,0,0
FMa026-d,500.0,1.0708894444444443,1.0708894444444443,0
FIa159-d,15000.0,0,0,0
HTc013-s,200.0,0,0,0
ZZa006-d,15000.0,0,0,0
HTc017-s,200.0,0,0,0
RFa055-d,15000.0,0,0,0
CFc001-d,15000.0,0,0,0
FMa001-d,5000.0,0,0,0
RFa055-s,2000.0,0,0,0
