ENb001_CL01APR08-s,0,0,0
ENb001_CL01APR08-d,0,0,0
RFa001_CL01APR08-s,0,0,0
RFa001_CL01APR08-d,0,0,0
RFa009_CL01APR08-s,0,0,0
RFa009_CL01APR08-d,0,0,0
RFa012_CL01APR08-s,0,0,0
RFa012_CL01APR08-d,0,0,0
RFb001_CL01APR08-s,0,0,0
RFb001_CL01APR08-d,0,0,0
FIa001_CL01APR09-s,0,0,0
FIa001_CL01APR09-d,0,0,0
FIa048_CL01APR09-s,0,0,0
FIa048_CL01APR09-d,0,0,0
FIa049_CL01APR09-s,0,0,0
FIa049_CL01APR09-d,0,0,0
CFc001_CL01APR13-s,0,0,0
CFc001_CL01APR13-d,0,0,0
HTa001_CL01APR13-s,0,0,0
HTa001_CL01APR13-d,0,0,0
HTa046_CL01APR13-s,0,0,0
HTa046_CL01APR13-d,0,0,0
RCa001_CL01APR14-s,0,0,0
RCa001_CL01APR14-d,0,0,0
RCa009_CL01APR14-s,0,0,0
RCa009_CL01APR14-d,0,0,0
RCa024_CL01APR14-s,0,0,0
RCa024_CL01APR14-d,0,0,0
SEa001_CL01APR15-s,0,0,0
SEa001_CL01APR15-d,0,0,0
SEa007_CL01APR15-s,0,0,0
SEa007_CL01APR15-d,0,0,0
SEa012_CL01APR15-s,0,0,0
SEa012_CL01APR15-d,0,0,0
SEb001_CL01APR15-s,0,0,0
SEb001_CL01APR15-d,0,0,0
RCa001_CL01APR17-s,0,0,0
RCa001_CL01APR17-d,0,0,0
RCa024_CL01APR17-s,0,0,0
RCa024_CL01APR17-d,0,0,0
NIa001_CL01APR18-s,0,0,0
NIa001_CL01APR18-d,0,0,0
NIa020_CL01APR18-s,0.002443333333333333,0.002443333333333333,0
NIa020_CL01APR18-d,0,0,0
NIa030_CL01APR18-s,0,0,0
NIa030_CL01APR18-d,0,0,0
BFa001_CL01AUG08-s,0,0,0
BFa001_CL01AUG08-d,0,0,0
BFa003_CL01AUG08-s,0,0,0
BFa003_CL01AUG08-d,0,0,0
BFa012_CL01AUG08-s,0,0,0
BFa012_CL01AUG08-d,0,0,0
GEb001_CL01AUG13-s,0,0,0
GEb001_CL01AUG13-d,0,0,0
GEb008_CL01AUG13-s,0,0,0
GEb008_CL01AUG13-d,0,0,0
GEb011_CL01AUG13-s,0,0,0
GEb011_CL01AUG13-d,0,0,0
GEb012_CL01AUG13-s,0,0,0
GEb012_CL01AUG13-d,0,0,0
GEb013_CL01AUG13-s,0,0,0
GEb013_CL01AUG13-d,0,0,0
SMa001_CL01DEC05-s,0,0,0
SMa001_CL01DEC05-d,0,0,0
SMa009_CL01DEC05-s,0,0,0
SMa009_CL01DEC05-d,0,0,0
SMa010_CL01DEC05-s,0,0,0
SMa010_CL01DEC05-d,0,0,0
CDa001_CL01DEC06-s,0,0,0
CDa001_CL01DEC06-d,0,0,0
CDb001_CL01DEC06-s,0,0,0
CDb001_CL01DEC06-d,0,0,0
RFa001_CL01DEC09-s,0,0,0
RFa001_CL01DEC09-d,0,0,0
RFa004_CL01DEC09-s,0,0,0
RFa004_CL01DEC09-d,0,0,0
CFc001_CL01DEC12-s,0,0,0
CFc001_CL01DEC12-d,0,0,0
