FS03APR17-s,200.0,0,0,0
FS01AUG08-s,200.0,0,0,0
GR06JUN11,200.0,0,0,0
CL07APR18-s,200.0,0,0,0
FS01JUN06-s,200.0,0,0,0
CP02MAY15-s,200.0,0,0,0
FS01AUG08-d,200.0,0,0,0
CL06APR18-s,200.0,0,0,0
CP02MAY15-d,200.0,0,0,0
FS01JUN06-d,200.0,0,0,0
CL07APR18-d,200.0,0,0,0
YG02JUN11-s,200.0,0,0,0
GR02DEC05-s,200.0,0,0,0
CP01JAN15,200.0,0,0,0
YG01MAY09-s,200.0,0,0,0
CL01OCT12-d,200.0,0,0,0
CL05APR17-s,200.0,0,0,0
CL03NOV05-s,200.0,0,0,0
FS01AUG10,200.0,0,0,0
CL01OCT12-s,200.0,0,0,0
GR05APR13,200.0,0,0,0
GR02DEC05-d,200.0,0,0,0
YG02JUN11-d,200.0,0,0,0
CP02APR10,200.0,0,0,0
CL03NOV05-d,200.0,0,0,0
CL05APR17-d,200.0,0,0,0
GR01MAY12-d,200.0,0,0,0
GR01NOV06-d,200.0,0,0,0
CP01JUN15,200.0,0,0,0
FS03APR13-s,200.0,0,0,0
CP01JUN16,200.0,0,0,0
CP01JUN10,200.0,0,0,0
CP01JUN13,200.0,0,0,0
GR01NOV06-s,200.0,0,0,0
GR01MAY12-s,200.0,0,0,0
GR01NOV05-s,200.0,0,0,0
SP01JUN11,200.0,0,0,0
FS03APR13-d,200.0,0,0,0
YG01JUL14,200.0,0,0,0
FS03APR13,200.0,0,0,0
ER01JUN11-s,200.0,0,0,0
YG01JUL12,200.0,0,0,0
CL04APR13-s,200.0,0,0,0
CL04APR13-d,200.0,0,0,0
ER01JUN11-d,200.0,0,0,0
FS01JUN11,200.0,0,0,0
GR06APR13-d,200.0,0,0,0
GR03NOV07-d,200.0,0,0,0
GR03NOV07-s,200.0,0,0,0
SP02APR06-s,200.0,0,0,0
FS01MAY07,200.0,0,0,0
GR08APR17,200.0,0,0,0
FS01MAY09,200.0,0,0,0
CL01APR10-s,200.0,0,0,0
EF01SEP08-d,200.0,0,0,0
GR01APR16,200.0,0,0,0
GR04APR15-d,200.0,0,0,0
CL01DEC08-d,200.0,0,0,0
CP01JUN09-s,200.0,0,0,0
CP01JUL12-s,200.0,0,0,0
EF01SEP08-s,200.0,0,0,0
GR02APR14-s,200.0,0,0,0
CP01JUL12-d,200.0,0,0,0
CP01JUN09-d,200.0,0,0,0
CL01DEC08-s,200.0,0,0,0
GR04APR15-s,200.0,0,0,0
FS01DEC07-s,200.0,0,0,0
CL02JUN11,200.0,0,0,0
CL01AUG08-s,200.0,0,0,0
CP01JUL16-s,200.0,0,0,0
GR07APR13,200.0,0,0,0
FS02APR15-s,200.0,0,0,0
CL01SEP09,200.0,0,0,0
SP01APR09,200.0,0,0,0
GR01MAY09-s,200.0,0,0,0
FS02APR15-d,200.0,0,0,0
FS05APR18,200.0,0,0,0
CP01JUL16-d,200.0,0,0,0
CL01AUG08-d,200.0,0,0,0
CL01SEP07,200.0,0,0,0
CL01SEP06,200.0,0,0,0
GR08NOV05,200.0,0,0,0
CL01DEC06,200.0,0,0,0
FS02APR16-s,200.0,0,0,0
SP02APR06,200.0,0,0,0
CL02JUN11-d,200.0,0,0,0
GR02APR14,200.0,0,0,0
YG01MAY12,200.0,0,0,0
