FIm007-d,1000.0,0,0,0,0.00
FIa131-s,200.0,0,0,0,0.00
FIa154-d,1000.0,0,0,0,0.00
FEb008-d,1000.0,0,0,0,0.00
RFa061-d,1000.0,0,0,0,0.00
GEd013-d,1000.0,0,0,0,0.00
ZZa011-s,200.0,0.035741666666666665,0.035741666666666665,0,0.02
FIm007-s,200.0,0,0,0,0.00
FIa101-d,1000.0,0,0,0,0.00
FEb008-s,200.0,0,0,0,0.00
fj-ota-s,200.0,0,0,0,0.00
FIa085-d,1000.0,0,0,0,0.00
FIc001-s,200.0,0,0,0,0.00
FIg012-d,1000.0,0,0,0,0.00
RFa001-d,1000.0,30.534165555555553,30.534165555555553,0,3.05
test3-d,1000.0,0,0,0,0.00
ENa038-d,1000.0,0,0,0,0.00
fj-imura-s,200.0,0,0,0,0.00
FIa171-d,1000.0,0,0,0,0.00
FMa019-s,200.0,0,0,0,0.00
KVa005-s,200.0,0,0,0,0.00
GEa007-d,1000.0,0,0,0,0.00
NIa040-s,200.0,0,0,0,0.00
FIg012-s,200.0,0,0,0,0.00
FIc001-d,1000.0,0,0,0,0.00
FIa085-s,200.0,0,0,0,0.00
GEa005-d,1000.0,0,0,0,0.00
FMa019-d,1000.0,0,0,0,0.00
STa015-d,1000.0,0,0,0,0.00
FIa162-s,200.0,0,0,0,0.00
fj-imura-d,1000.0,0,0,0,0.00
ENa038-s,200.0,0,0,0,0.00
FIa063-s,200.0,0,0,0,0.00
FMa027-s,200.0,0,0,0,0.00
BFa036-s,200.0,0,0,0,0.00
ACa006-s,200.0,0,0,0,0.00
FIa059-s,200.0,0,0,0,0.00
GEb015-d,1000.0,0,0,0,0.00
ENa043-s,200.0,0,0,0,0.00
FIa060-s,200.0,0,0,0,0.00
FIa105-d,1000.0,0,0,0,0.00
FIa145-s,200.0,0,0,0,0.00
ENa031-d,1000.0,0,0,0,0.00
ACa005-s,200.0,0,0,0,0.00
GEb012-s,200.0,0,0,0,0.00
FMa035-s,200.0,0,0,0,0.00
FIa059-d,1000.0,0,0,0,0.00
ACa006-d,1000.0,0,0,0,0.00
BFa036-d,1000.0,0,0,0,0.00
FIa100-d,1000.0,0,0,0,0.00
FIa063-d,1000.0,0,0,0,0.00
GEd002-d,1000.0,0,0,0,0.00
GEb012-d,1000.0,0,0,0,0.00
ACa005-d,1000.0,0,0,0,0.00
ENa031-s,200.0,0,0,0,0.00
FIa145-d,1000.0,0,0,0,0.00
FIg015-s,200.0,0,0,0,0.00
FIa060-d,1000.0,0,0,0,0.00
FIf003-s,200.0,0,0,0,0.00
GEb018-s,200.0,0,0,0,0.00
FIa055-s,200.0,0,0,0,0.00
CDa005-s,200.0,0,0,0,0.00
FIa082-d,1000.0,0,0,0,0.00
FIa117-d,1000.0,0,0,0,0.00
FIa146-s,200.0,0,0,0,0.00
FIa141-s,200.0,0,0,0,0.00
fj-asano-s,200.0,0,0,0,0.00
GEb016-s,200.0,0,0,0,0.00
CFa017-s,200.0,0,0,0,0.00
FIa067-s,200.0,0,0,0,0.00
FEb003-s,200.0,0,0,0,0.00
FIg011-d,1000.0,0,0,0,0.00
FIa146-d,1000.0,0,0,0,0.00
FIa117-s,200.0,0,0,0,0.00
FIa082-s,200.0,0,0,0,0.00
CDa005-d,1000.0,0,0,0,0.00
FIa055-d,1000.0,0,0,0,0.00
GEb018-d,1000.0,0,0,0,0.00
