FJTEST1-s,0,0,0,78994.86099999996,5849.956000000003,384845.4179999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384845.4179999999,0.4065463870332571
FJSE-s,1399970.23,18444.247,1418414.476,3357338.189,74477.70499999999,3431815.8949999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4850230.370999999,5.123729012694194
general,4419146.263,138221.44999999995,4563556.191000002,4673450.8379999995,193181.85500000004,5167004.312000002,0.27,15.720000000000002,15.991000000000001,0.5870000000000001,0.8190000000000001,1.4060000000000001,0,0,0,148.386,76.89200000000001,225.28099999999998,0,0,0,0,0,0,993604.489,85346.45,8090142.148,21022623.57,168127.71399999998,21305641.968000002,252326.90400000007,797.949,22511840.667000003,398052.047,4390.741,7663163.133,890901.7080000001,4320.122,1244668.488,232461.57,856.9820000000001,390740.488,272649.67,1484.788,274143.964,177531.214,531.96,178063.174,244472.70799999998,728.6120000000001,245201.31800000003,206609.01100000006,613.9559999999999,207222.96600000004,157902.488,468.44599999999997,158370.93499999997,204940.108,634.5540000000001,205574.65999999997,227322.763,694.8530000000001,228017.615,246614.00699999998,727.33,247341.338,157172.32499999998,467.304,157639.63,155604.375,445.834,156050.21,275082.638,839.3090000000001,275921.9490000001,202193.991,611.5150000000001,202805.50599999996,290173.795,872.957,291046.75200000004,228400.28999999998,686.6179999999999,229086.90999999997,137874.702,418.118,138292.818,66963.698,202.49,67166.188,74198946.00600003,78.38293509425398
FJTEST4-d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,0.11099999999999999,248802.93,137253.31,463.527,170961.823,382388.83800000005,1149.5309999999997,541243.903,213422.006,641.672,214082.87399999998,234451.69400000002,694.7989999999999,343472.41699999996,210442.28999999998,654.1940000000001,248276.09699999995,200493.75600000002,616.203,314909.371,234280.174,730.8470000000001,252107.00999999998,144736.569,453.407,200557.63400000002,310285.54500000004,936.6750000000001,348760.08,201051.96,597.591,276109.624,180955.41,546.074,252717.869,212479.75900000002,638.301,267714.938,113236.179,365.001,148486.222,204981.217,644.4499999999999,278652.97599999997,223272.61899999998,669.6780000000001,242479.685,180115.83100000003,552.4849999999999,254110.662,211859.837,628.4920000000001,247267.881,93117.52599999998,281.887,162835.32900000003,246761.09,748.426,264911.479,255666.48600000003,774.261,309805.41,202884.495,632.698,237882.166,144530.404,441.21100000000007,179825.46899999998,111843.76800000001,334.861,131879.252,6137853.100999997,6.483959235685697
FJTEST3-s,0,0,0,212269.957,2564.562,367471.689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367471.689,0.3881929744060477
GR11APR18-d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7152079.491,170271.413,7323906.285,36284.789000000004,133.08200000000002,112867.495,127959.712,1779.9589999999998,273403.219,0.32499999999999996,0.228,519609.58999999997,125193.074,1874.823,127067.89799999999,165251.7,3782.4480000000003,365916.19200000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8722770.679,9.214637198739057
admin-d,0,0,0,0,0,0,0,0,0,0.056,0.037,0.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092,9.718776905656096e-08
