intmpi.default,11,148.386,76.89200000000001,225.28099999999998,0,1,3090.27864278574,84921.299398656
dma.default,97,7367299.879000001,172711.06399999998,8539839.221000005,260370.29800000004,26,1009.3473893929232,134388.41966592
dma.A,514,31794204.73600001,293132.2350000001,70369162.63100004,5158987.242999999,361,28.193371664877795,5010.628009984
sma.E,1,4058074.434,125123.981,4183198.416,446909.5800000001,512,363.1654441167963,392.080060416
sma.B,12,2.2780000000000005,45.16399999999999,47.443999999999996,207.676,128,0.0,0.0
sma.A,4,354770.43399999995,11760.436,366530.869,18226.91,60,3.5323521081175513,9.448546304
dma.M,4,137253.31,463.527,170961.823,368832.6,2880,32.30162066095469,78.85254656
dma.L,4,0.196,0.11099999999999999,248802.93,2034286.2719999999,11520,31.21073780879499,76.957687808
sma.D,5,1399970.23,18444.247,1418414.476,45317.94,480,51.01319049608929,64.60043264
aps.A,4,0.27,15.720000000000002,15.991000000000001,8466.75,80,0.004463121645386125,0.124432384
single.default,4,0.643,0.856,1.498,0,1,0.0,0.1104896
smb.A,37,378740.07000000007,37907.389,927532.511,75717.86,75,72.56637088011674,357.38415104
smb.C,20,7657.088,876.4359999999999,10119.809,9654.224,239,2.3448012333136106,45.390999552
smb.B,13,3421.37,590.6300000000001,4011.9999999999995,2858.2,146,1.4740470276313726,18.85241344
smb.E,122,4568254.934,161824.883,4970617.869,467638.366,933,4.09162651812703,392.088449024
smb.D,25,3363980.3829999994,74874.73999999998,3438855.124999999,115783.692,448,21.83819628629344,64.60043264
sma.default,15,6299.116999999999,1291.8690000000001,13779.462,41440.30999999998,42,0.15077597063419326,5.778567168
