CL01APR08,ENb001,RFa001,RFa009,RFa012,RFb001
CL01APR09,FIa001,FIa048,FIa049
CL01APR10,INa003
CL01APR13,CFc001,HTa001,HTa046
CL01APR14,RCa001,RCa009,RCa024
CL01APR15,SEa001,SEa007,SEa012,SEb001
CL01APR16,INa004
CL01APR17,RCa001,RCa024
CL01APR18,NIa001,NIa020,NIa030
CL01AUG08,BFa001,BFa003,BFa012
CL01AUG13,GEb001,GEb008,GEb011,GEb012,GEb013
CL01DEC05,SMa001,SMa009,SMa010
CL01DEC06,CDa001,CDb001
CL01DEC08,INa003
CL01DEC09,RFa001,RFa004
CL01DEC12,CFc001,HTa001,HTa046
CL01FEB07,SMa001,SMa021,SMa022,SMa023
CL01FEB09,SMa001,SMa021,SMa022,SMa023
CL01FEB15,INa004,INf001
CL01JAN09,SEa001,SEa007,SEb001
CL01JAN18,FMa001,FMa032,FMa033,FMa034,FMa035,FMa036
CL01JUL08,SEa001,SEa007
CL01JUL10,SMa001,SMa036,SMa037,SMe001
CL01JUL11,FIa074,FIg001
CL01JUL16,LEb001,LEb013,LEb014,LEb015,LEb016
CL01JUL17,MSa001,SEa001,SEa007,SEa022
CL01JUN07,ENb001,RFa001,RFa002,RFa006,RFa009,RFb001
CL01JUN11,TFa001,TFa004
CL01JUN12,TFa001,TFa006
CL01JUN14,GEb001,GEb012,GEb013,GEb014,GEb017
CL01JUN16,FMa001,FMa020
CL01MAY06,FEb001,FEb003
CL01MAY08,ACc001,FIa001,FIa020,FIa047
CL01MAY10,FIa001,FIa020
CL01MAY14,FIa001,FIa108,FIa109
CL01MAY15,RFa001,RFa004
CL01MAY16,MCa001,MCa002
CL01MAY17,CFc001,HTc015
CL01NOV05,HEa001,HEa002
CL01NOV06,SEb001,SEb002
CL01NOV07,FIa001,FIa035
CL01NOV15,BFa001,BFa010,BFa025,BFa026,BFa028,BFa031,BFa032
CL01NOV17,FMa001,FMa027
CL01OCT06,FIa001,FIa022,FIa024
CL01OCT08,HTa001,HTa015,HTa025
CL01OCT12,FMa001,FMa010
CL01OCT17,FMa001,FMa028
CL01SEP06,FIa001,FIa020,FIa029
CL01SEP07,FIa001,FIa017,FIa026,FIa034,FIb001
CL01SEP09,FIa001,FIa052,FIa053,FIa054
CL01SEP11,RFa001,RFa004
CL01SEP13,SMa001,SMa053,SMa054,SMe001
CL01SEP14,EIc001,EIc002,EIc003,EIc004
CL02APR08,HTa001,HTa018,HTc001
CL02APR10,TFa001,TFa004
CL02APR13,FMa001,FMa010
CL02APR15,CFc001,HTa001,HTa046
CL02APR16,EIc001,EIc002,EIc003,EIc005
CL02APR17,NIa001,NIa020,NIa030,NIa047
CL02DEC06,RCa001,RCa002,RCa003,RCa004,RCa005
CL02JUL16,MCa001,MCa003,MCa004
CL02JUL17,SMa001,SMa007,SMa069,SMa070,SMa071,SMa072,SMa076,SMa078,SMf001
CL02JUN07,SEa001,SEa007
CL02JUN11,FIa001,FIa071,FIa079,FIa095
CL02MAY14,FIa001,FIa071,FIa111,FIa113,FIa122,FIa123,FIa124,FIa125
CL02MAY15,BRa001,BRa003
CL02MAY16,NIa001,NIa022,NIa027
CL02MAY17,FIa001,FIa158
CL02NOV05,RFa001,RFa004
CL02NOV07,RFa001,RFa004,RFa005,RFb001
CL02SEP06,SEa001,SEa007,SEb001
CL02SEP07,FIb001,FIb002,FIb003
CL02SEP11,SMa001,SMa021,SMa022,SMa023
CL03APR10,FIa001,FIa048
CL03APR13,RFa001,RFa004,RFa022
CL03APR16,FIa001,FIa105,FIa138
CL03APR17,MCa001,MCa002
CL03APR18,MCa001,MCa002
CL03JUL16,SEa001,SEa007,SEb001
CL03JUN11,INa003,INf001,INg001
CL03MAY16,FIa001,FIa130
CL03NOV05,SEb001,SEb002
CL04APR13,BFa001,BFa003,BFa010,BFa022,BFa026
CL04APR17,MCa001,MCa003,MCa004,MCa005
CL05APR17,BRa001,BRa003
CL06APR17,CFc001,HTc016
CL07APR17,RFa001,RFa004
CL08APR17,BFa001,BFa010,BFa028,BFa032
CL08APR18,FMa001,FMa032,FMa035,FMa036
CL09APR17,CFc001,HTc013,HTc017
CL09APR18,CFc001,HTc001,HTc013
CL10APR17,HTc001,HTc010,HTc011,HTc012
CP01APR09,SMa001,SMa021,SMa022,SMa023
CP01APR10,SMa001,SMa021,SMa022,SMa023
CP01APR12,NIa001,NIa016,NIa017,NIa018,NIa024
CP01APR13,CFc001,HTa001,HTa027,HTa038,HTa045
CP01APR14,CFc001,HTa001,HTa027,HTa045
CP01APR15,SMa001,SMa007,SMa059
CP01APR16,ICa001,ICa011
CP01APR17,FIa001,FIa071,FIa122,FIa157,FIa162
CP01AUG11,FIa001,FIa012,FIa078
CP01DEC12,RCa001,RCa010,RCa013,RCa014,RCa016
CP01FEB12,FIb001,FIb009
CP01FEB15,FMa001 FMa020
CP01JAN15,FMa001,FMa019
CP01JUL12,CFb001,CFb002
CP01JUL13,FIa001,FIa105
CP01JUL15,FIa001,FIa105,FIa138
CP01JUL16,ICa001,ICa012,ICa013,ICa015
CP01JUN09,GEb001,GEb006,GEb007
CP01JUN10,FIa001,FIa007,FIa061,FIa062
CP01JUN11,SMa001,SMa039,SMa040,SMe001
CP01JUN12,SMa001,SMa021,SMa022,SMa045,SMa046,SMa047,SMa048
CP01JUN13,CFc001,HTa040,HTc001
CP01JUN15,FIa001,FIa130
CP01JUN16,ENb001,ENb002,ENb003
CP01MAY12,CFc001,HTa042
CP01MAY13,FIa095,FIg001
CP01MAY14,CFc001,HTa042
CP01MAY15,CFc001,HTa042
CP01MAY16,NIa001,NIa018,NIa032,NIa033,NIa042,NIa045
CP01MAY17,CFc001,HTc001,HTc013
CP01NOV16,ENa001,ENa042,ENb001
CP01OCT13,CFb001,CFb002
CP01SEP09,HTa001,HTa027,HTc001
CP01SEP15,ICa001,ICa011
CP02APR10,GEb001,GEb006,GEb007
CP02APR12,RCa001,RCa009
CP02APR13,CFc001,HTa042
CP02APR14,SEa001,SEa007,SEa012,SEb001
CP02APR15,NIa001,NIa016,NIa017,NIa033
CP02APR17,HTc001,HTc006,HTc010,HTc011
CP02JUL15,ICa001,ICa009,ICa010
CP02JUN11,FMa001,FMa004,FMa008
CP02JUN13,SMa001,SMa052,SMe001
CP02MAY12,SEa001,SEa007,SEa010,SEb001
CP02MAY13,SEa001,SEa007,SEa011,SEa012,SEb001
CP02MAY14,FMa001,FMa004
CP02MAY15,MCa001,MCa002
CP02MAY16,FIa001,FIa153,FIi001
CP02NOV16,CFc001,HTa001,HTa059
CP03APR10,HTa001,HTa027,HTc001
CP03APR12,FMa001,FMa004
CP03APR13,RCa001,RCa009
CP03APR14,SMa001,SMa039,SMa049,SMa051,SMe001
CP03APR15,NIa001,NIa018,NIa032,NIa038
CP03JUN11,NIa001,NIa016,NIa017,NIa018,NIa024
CP03MAY12,CFc001,HTa040,HTc001
CP03MAY14,NIa001,NIa016,NIa017,NIa018,NIa033
CP03MAY15,FIa001,FIa128,FIa129,FIg001
CP03MAY16,FIa001,FIa071,FIa111,FIa122,FIa123,FIa124,FIa125
CP04APR10,SEa001,SEa007
CP04APR13,RCa001,RCa017,RCb001
CP04APR14,SMa001,SMa021,SMa022,SMa047,SMa048,SMa055,SMa056
CP04APR15,NIa001,NIa022,NIa027
CP04JUN11,SEa001,SEa007,SEa010,SEb001
CP04MAY12,FIb001,FIb009
CP04MAY14,FIa095,FIa114,FIa118,FIa119,FIa126,FIa127,FIg001
CP05APR10,NIa001,NIa016,NIa017,NIa018
CP05APR13,RCa001,RCa017,RCb001
CP05APR15,SMa001,SMa021,SMa022,SMa048,SMa060,SMa066,SMa067,SMa074,SMa075
CP06APR13,SMa001,SMa039,SMa044,SMa049,SMe001
CP06APR15,CFc001,HTa001,HTa027,HTa045
CP07APR13,SMa001,SMa021,SMa022,SMa045,SMa046,SMa047,SMa048
CP08APR13,NIa001,NIa016,NIa017,NIa018
CP09APR13,FMa001,FMa004
EF01JAN08,CFa001,CFa013,MCa001,MHa001,MHa010,SMa001,SMa006
EF01SEP08,CFa001,CFa013,MCa001,MHa001,MHa011,SMa001,SMa006
ER01JUN11,ERa001,ERa002
FS01APR08,FIe001,FIe002
FS01APR12,GEd005
FS01APR13,SWb008,SWb015,SWb016
FS01APR14,GEd010
FS01APR15,GEd006,GEd014
FS01APR16,FIm001,FIm002,FIm004,FIm005
FS01APR17,SWb016,SWb019,SWb020,SWb021,SWb022
FS01APR18,FIm001,FIm006,FIm007,FIm008,FIm009,FIm010
FS01AUG06,SMc003,SMc004
FS01AUG08,SMc003,SMc004
FS01AUG10,SMc004,SMc005,SMc006
FS01DEC07,FMc001
FS01JUL06,FId001,FId002,FId003,FId004
FS01JUL09,ACc001,ACc005,ACc006,ACc007
FS01JUL11,SWb008,SWb009,SWb010,SWb011,SWb012
FS01JUN06,ACc001,ACc002,ACc003
FS01JUN07,ACc001,ACc004,ACc005,ACc006
FS01JUN11,GEd003,GEd005
FS01MAY07,SWb002,SWb003,SWb006,SWb007
FS01MAY09,SWb004,SWb006,SWb008
FS01MAY10,FIe001,FIe002
FS01MAY16,GEd015
FS01MAY17,FIa001,FIn001,FIn002
FS01NOV09,FMc001,FMc002,FMc003,FMc004
FS01OCT10,GEd002,GEd003
FS01SEP17,FIp001,FIp002
FS02APR13,GEd006
FS02APR14,GEd011,GEd012
FS02APR15,GEd012,GEd013
FS02APR16,GEd013,GEd016
FS02APR17,GEd017
FS02JUN11,GEd006,GEd007
FS02MAY07,SWb005,SWb008
FS02MAY09,SWb007
FS03APR13,GEd009
FS03APR15,SWb008,SWb016
FS03APR16,GEd014
FS03APR17,GEd013
FS03APR18,FIp001,FIp002
FS03JUN11,ACc001,ACc005,ACc008,ACc009
FS04APR17,GEd018,GEd019
FS04APR18,GEd013
FS05APR18,GEd017
FS06APR18,SWb022,SWb019,SWb023,SWb024,SWb025
GR01APR10,CGa001,CGa007,CGa008,CGa009
GR01APR12,CGa001,CGa011,CGa013,CGa014
GR01APR13,CGa001,CGa014,CGa015,CGa016
GR01APR14,CGa001,CGa015,CGa017,CGa018
GR01APR15,NIa001,NIa020,NIa025
GR01APR16,MHa001,MHa024
GR01APR17,CFb001,CFb004,CFb013
GR01APR19,FMd001,FMa038
GR01AUG06,SMa001,SMa013,SMa026,SMb001
GR01AUG09,NIa001,NIa012,NIa014
GR01AUG15,FIg001,FIg002,KVa002,KVa003,RCa001,RCb001
GR01DEC05,CFa001,CFa005,CFa006,CFa009,CFa011
GR01DEC07,CFa001,CFa009,CFa011,CFa014
GR01DEC09,CFa001,CFa009,CFa011,CFa014,CFa015
GR01DEC11,MHa001,MHa015,MHa017,MHa018,MHa019
GR01JAN09,RCa001,RCa006,RCa009,RCa010
GR01JAN12,SMa001,SMa044,SMa049,SMe001
GR01JUL07,CGa001,RCa001,RCa005,RCa009
GR01JUL10,ENa001,ENa007,ENa008,ENa011
GR01JUL11,BFa001,BFa010,BFa022
GR01JUL16,CFb001,CFb010,CFb014,CFb015
GR01JUL17,RFa001,RFa031,RFa036,RFa040,RFa046,RFa055,RFa057,RFa059
GR01JUN06,HTa001,HTa004,HTa012,HTc001
GR01JUN07,NIa001,NIa006,NIa009,NIa011
GR01JUN08,NIa001,NIa005
GR01JUN09,NIa001,NIa006,NIa010
GR01JUN11,CGa001,CGa010,CGa011,CGa012
GR01JUN14,NIa001,NIa025,NIa030,NIa034
GR01JUN16,GEb001,GEb012,GEb016,GEb017,GEb018
GR01MAR15,BFa001,BFa025
GR01MAY06,EIa001,EIa002,EIc001,GEb001
GR01MAY07,RFa001,RFa002,RFa006,RFb001
GR01MAY08,SMa001,SMa003,SMe001
GR01MAY09,FMa001,FMb001,FMa002,FMa003
GR01MAY10,SMa001,SMa031,SMe001
GR01MAY12,CFb001,CFb003
GR01MAY14,MHa001,MHa024,MHa025,MHa027,MHa028
GR01MAY16,NIa001,NIa025,NIa034,NIa044
GR01NOV05,ACa001,ACa002,ACa015
GR01NOV06,MHa001,MHa002,MHa006,MHa007
GR01NOV07,ACa001,ACa002,ACa021
GR01NOV09,GEb001,GEb006,GEb008,GEb009
GR01NOV15,CFc001,HTa001,HTa053,HTc001
GR01NOV17,STa001,STa003,STa012,STb001
GR01OCT10,ENa010,ENa012,ENa013,ENb001
GR01OCT15,SWc001,SWc005
GR01SEP15,RFa001,RFa028,RFa036,RFa044
GR01SEP17,SWc001,SWc007,SWc008
GR02APR10,ENb001,RFa001,RFa013,RFb001
GR02APR13,MHa001,MHa017,MHa018,MHa022
GR02APR14,FIa116,FIg001
GR02APR15,NIa001,NIa019,NIa036,NIa037,NIa040
GR02APR18,NIa001,NIa037,NIa040,NIa048
GR02AUG06,RFa001,RFa002,RFa006,RFb001
GR02DEC05,GEc001
GR02DEC07,SMa001,SMa007,SMa029,SMe001
GR02DEC09,SMa001,SMa007,SMa029,SMe001
GR02JAN12,SMa001,SMa007,SMb001,SMe001
GR02JUL07,BFa001,BFa003
GR02JUN09,NIa001,NIa009,NIa013
GR02JUN11,RCa001,RCa005,RCa010,RCa014
GR02MAY12,NIa001,NIa020,NIa025,NIa026,NIa029
GR02NOV05,MHa001,MHa002,MHa003,MHa004
GR02NOV07,MHa001,MHa010,MHa011,MHa013
GR02NOV09,MHa001,MHa003,MHa013,MHa015
GR03APR13,ENa001,ENa018,ENa019,ENa021,ENb001
GR03APR14,RCa001,RCa017,RCa018,RCb001
GR03APR17,ENa001,ENa022,ENa031,ENa033,ENa038,ENa040,ENa041,ENa043,ENa044,ENb001
GR03APR18,NIa001,NIa027,NIa049
GR03JUN09,FIa001,FIa051,FIa060,FIb005
GR03JUN11,ENb001,RFa001,RFa013,RFa019,RFa024
GR03NOV05,SMa001,SMa002
GR03NOV07,MHa001,MHa003,MHa009,MHa012
GR03NOV09,MHa001,MHa012,MHa014,MHa016
GR04APR13,ENa001,ENa010,ENa022,ENa026,ENb001
GR04APR14,CFb001,CFb003,CFb004,CFb005,CFb006
GR04APR15,ENa001,ENa022,ENa028,ENa029,ENa031,ENa033,ENa038,ENa040,ENa041,ENb001
GR04APR17,STa001,STa003,STa006,STa009
GR04APR18,NIa001,NIa025,NIa046,NIa047
GR04JUN11,ENa001,ENa012,ENa013,ENa015,ENa016,ENa018
GR04NOV05,SMa001,SMa003
GR04NOV07,GEb001,GEb006,GEb008
GR05APR13,FMa001,FMa011,FMa014,FMa017,FMa018
GR05APR15,CFb001,CFb004,CFb009,CFb011,CFb012
GR05APR17,NIa001,NIa037,NIa040,NIa046
GR05APR18,FMa001,FMa029
GR05JUN11,ENa001,ENa010,ENa014,ENa015,ENa017,ENa019,ENa020,ENa022
GR05NOV05,SMa001,SMa003,SMa004
GR05NOV07,SMa001,SMa031,SMa032,SMe001
GR06APR13,FMd001
GR06APR15,FMa001
GR06APR17,FMd001
GR06APR18,FMa001,FMa031,FMa037,FMa040
GR06JUN11,CFa001,CFa009,CFa015
GR06NOV05,SMa001,SMa006
GR06NOV07,SMa001,SMa003,SMa006
GR07APR13,FMa001
GR07APR15,FMa001,FMa017,FMa021,FMa023,FMa024
GR07APR17,FMa001
GR07APR18,FMa001
GR07JUN11,NIa001,NIa006,NIa010,NIa021
GR07NOV05,KEa001,KEb001,RCa001
GR08APR15,FMd001
GR08APR17,FMa001,FMa024,FMa029,FMa030
GR08APR18,STa001,STa009,STb001
GR08JUN11,NIa001,NIa019,NIa020,NIa025,NIa027
GR08NOV05,GEb001,GEb002,GEb003,GEb004
GR09APR13,NIa001,NIa019,NIa020,NIa025
GR09APR15,SMa001,SMa007,SMa049,SMa057,SMa069,SMa070,SMa071,SMa072,SMe001,SMf001
GR09APR17,FIg001,FIg002,KVa002,KVa003,KVa004,RCa001,RCb001
GR09JUN11,NIa001,NIa006,NIa021,NIa022
GR10APR13,NIa001,NIa022,NIa027,NIa030
GR10APR17,RFa001,RFa036
GR10APR18,ENa001,ENa033,ENa038,ENa041,ENa043,ENa044,ENb001,ENa049,ENb007
GR10JUN11,FMa001,FMa009,FMa012,FMa003
GR11APR18,MHa029,MHc001,MHa001,MHa024,MHa034
GR11JUN11,FMa001,FMa005,FMa007,FMa011
GR12JUN11,FMa001
GR13JUN11,GEb001,GEb008,GEb010,GEb011,GEb012
SGI0NOV00,YYa001,YYb001,YYb003,ZZb003,ZZb005,ZZb011
SGI1NOV00,YYa001,YYa002,YYb001,YYb002,ZZb005,ZZb009,ZZb011
SP01APR06,TFa001,TFa004,TFa005,TFa006,TFa007,TFa008,TFa009,TFb001
SP01APR09,TFa001,TFa006,TFa008,TFa009,TFa010,TFa011,TFb001
SP01APR12,FIa001,FIa081,FIa091,FIa097,FIa101,FIi001,FIk002
SP01APR14,FIa001,FIa094,FIa102,FIa131,FIa133,FIa139,FIa144,FIa145,FIa146,FIa147,FIa148,FIa150,FIa151,FIa152,FIa154,FIi001
SP01APR15,FIa101,FIa117,FIa141,FIg001,FIg003,FIg004,FIg005,FIg006,FIg010,FIg011
SP01APR17,FIa001,FIa102,FIa131,FIa144,FIa145,FIa146,FIa147,FIa148,FIa159,FIa161,FIa166,FIg023,FIi001,FIr001
SP01APR18,FIa001,FIa102,FIa161,FIr001,FIa170,FIa171,FIa172
SP01APR99,ZZa003,ZZa006,ZZa008,ZZa011,ZZa012
SP01JUN11,FIa001,FIa063,FIa064,FIa067,FIa089,FIa093,FIa094,FIa098,FIa099,FIa100,FIa101,FIa102,FIa104,FIg001
