fjse,0,0,0,0,0,0,0,0,0,363.43999999999994,22.524,4261.562,0,0,0,0,0,0,4261.562,0.0031663048898727146
RFa,0,0,0,0,0,0,0,0,0,60115200.79000001,1444157.4430000004,134586619.41799998,0,0,0,0,0,0,134586619.41799998,99.99673152113037
XXa,0,0,0,0,0,0,0.139,8.498999999999999,8.638,0,0,0,0,0,0,0.072,0.146,0.219,8.857,6.580676852666378e-06
ZZa,0,0,0,0,0,0,0.47200000000000003,34.675,35.145,4.389,35.471,56.424,0,0,0,4.898,32.193000000000005,37.091,128.66,9.559330290889194e-05
