intmpi.default,38,568.3770000000001,506.4480000000001,1074.8249999999998,0,1,895.2108399595891,84921.299398656
sma.D,3,288428.175,6934.998,651309.6830000001,59941.776000000005,480,103.610497691013,279.123103744
sma.E,1,0.047,1.659,1.706,15650.908,1040,0.006248534583821805,0.124432384
sma.B,29,-70300091134840.414,-70300094892418.21,10277676.713000001,537577.0080000001,135,18.40502620089519,265.7528832
sma.C,2,0.7550000000000001,19.712,152654.789,9603.312,320,14.145240699715337,31.9570944
sma.A,15,882183.245,39491.314000000006,2843825.305,148612.12800000003,68,35.48447220610387,269.044330496
dma.default,266,287229036.2890003,862085.8799999998,316309920.7660001,9388692.100999996,27,3.15094338172615,305.03294976
single.default,37,30054.637000000006,11405.317999999997,43136.076,0,1,1535.1980408890938,140735.491330048
aps.E,1,0.082,7.147,7.23,14570.976,960,0.00503042876901798,0.124432384
aps.D,1,0.098,6.123,6.221,7280.892,480,0.004235814177784922,0.124432384
aps.A,8,0.467,21.017,21.483,30661.469999999998,45,0.009596424993253206,0.124432384
aps.C,1,0.099,6.543,6.641,4856.256,320,0.004217286553229936,0.124432384
aps.B,1,0.184,7.986,8.169,2435.508,160,0.004317909168808911,0.124432384
dma.A,1448,1997000265.5810018,116524366.63099985,2419121035.7640076,66507875.38500008,71,3.773329442658514,14133.851713536
sma.default,19,9045.260999999999,2150.126,17390.239999999998,46842.681999999986,42,0.14055079769678144,5.778567168
smb.default,1,0.054,4.758,57.81,332.59,41,0.15383822868015914,0.62820352
aps.default,31,-70300094987856.21,-70292032.43899998,41016.683999999994,52088.206000000006,41,0.3729174401671999,23.327219712
smb.A,31,-70300094424101.55,-70300094977729.8,15782846.185999999,752795.9340000001,61,4.797634195420056,67.822743552
smb.C,6,756707.6039999999,24094.915,780802.5190000001,44794.76,320,12.444477991695011,43.11066624
smb.B,15,13729478.932000004,399789.654,14129268.583999999,1211704.96,160,5.217131376158084,35.235999744
smb.E,15,3516394.4049999993,1221417.117,6205368.197999999,447500.8979999999,1040,49.84234980855449,139.872731136
smb.D,6,894631.3829999999,38864.269,933495.652,63865.788,480,17.497300072260973,64.59623424
