FJTEST4-s,0.34099999999999997,18.763,19.104999999999997,1.613,89.11999999999999,90.73200000000001,0.7869999999999999,41.507,42.291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.128,5.457916082412806e-06
FJSE-s,288427.299,6917.723,295345.021,-70300088728307.54,-70300093691677.98,9166142.655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9461487.675999999,0.33945102644083247
GR11APR18-d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168640615.71199995,1448292.3099999998,170840091.80300003,184068368.558,2165107.6,186943486.441,160303868.27400005,860232.1020000002,161308203.493,32855040.944,794303.8340000001,34196310.548999995,138714628.07300004,2851531.983,141566286.52600002,136178074.133,3696344.5999999987,140071300.772,91963420.14199996,2174562.216000001,94137982.364,91112696.01300001,1985833.279,93098529.29699995,72033072.509,1861624.0499999998,73894696.558,7297901.223999999,175596.316,7473497.540999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1103530385.3439994,39.59150345498669
FJSE-d,0,0,0,0,0,0,0,0,0,0.42,38.742000000000004,444.07000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0.049,0.023,190.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634.1600000000001,2.275184096828267e-05
FJTEST4-d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66384.353,194.55300000000003,66578.905,35131.706,109.297,35241.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101819.908,0.003653006109217188
FJTEST3-s,0.058,1.057,152682.64,0.29600000000000004,5.814,607794.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760477.4,0.027283746790672834
general,-70300090243610.625,-70300094850757.945,13494811.670000002,13201416.452,398023.963,28057810.801999997,-70300094987856.07,-70292025.13,41024.137,30054.217000000004,11366.575999999997,42692.006,0,0,0,568.3770000000001,506.4480000000001,1074.8249999999998,0,0,0,0,0,0,354151289.6129998,39633724.155000016,494205256.6060001,202430949.12600002,24986652.696999997,268296016.742,193762249.39999998,29282732.933000006,271288361.2369999,239478494.288,2444909.2419999996,331783803.3979999,66536866.62700001,2587739.107,75959613.445,66713405.53000001,89836.94300000001,91221593.43300001,48796684.589,159611.33,63770362.41400002,0,0,0,24760963.033,157654.476,25200261.096999995,4325868.855,29683.046000000002,7127222.898,3329.119,176.41899999999998,2946069.918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1673435974.6280015,60.03808055591553
